floor,date,hour,avg_num,total
T1 단기주차장지상층,2021-11-01,0,266,993
T1 단기주차장지하1층,2021-11-01,0,807,973
T1 단기주차장지하2층,2021-11-01,0,332,1339
T2 단기주차장지상1층,2021-11-01,0,453,988
T2 단기주차장지상2층,2021-11-01,0,299,470
T2 단기주차장지상3층,2021-11-01,0,183,448
T2 단기주차장지상4층,2021-11-01,0,370,486
T2 단기주차장지하M층,2021-11-01,0,40,751
T1 장기 P1 주차장,2021-11-01,0,2648,2762
T1 장기 P1 주차타워,2021-11-01,0,833,1374
T1 장기 P2 주차장,2021-11-01,0,2256,2592
T1 장기 P2 주차타워,2021-11-01,0,695,1375
T1 장기 P3 주차장,2021-11-01,0,0,0
T1 예약주차장,2021-11-01,0,254,1382
T2 장기 주차장,2021-11-01,0,573,2847
T2 예약 주차장,2021-11-01,0,371,936
T1 단기주차장지상층,2021-11-01,1,917,993
T1 단기주차장지하1층,2021-11-01,1,490,973
T1 단기주차장지하2층,2021-11-01,1,69,1339
T2 단기주차장지상1층,2021-11-01,1,10,988
T2 단기주차장지상2층,2021-11-01,1,218,470
T2 단기주차장지상3층,2021-11-01,1,55,448
T2 단기주차장지상4층,2021-11-01,1,328,486
T2 단기주차장지하M층,2021-11-01,1,622,751
T1 장기 P1 주차장,2021-11-01,1,2226,2762
T1 장기 P1 주차타워,2021-11-01,1,922,1374
T1 장기 P2 주차장,2021-11-01,1,1617,2592
T1 장기 P2 주차타워,2021-11-01,1,1086,1375
T1 장기 P3 주차장,2021-11-01,1,0,0
T1 예약주차장,2021-11-01,1,867,1382
T2 장기 주차장,2021-11-01,1,2563,2847
T2 예약 주차장,2021-11-01,1,433,936
T1 단기주차장지상층,2021-11-01,2,205,993
T1 단기주차장지하1층,2021-11-01,2,701,973
T1 단기주차장지하2층,2021-11-01,2,253,1339
T2 단기주차장지상1층,2021-11-01,2,371,988
T2 단기주차장지상2층,2021-11-01,2,213,470
T2 단기주차장지상3층,2021-11-01,2,202,448
T2 단기주차장지상4층,2021-11-01,2,324,486
T2 단기주차장지하M층,2021-11-01,2,284,751
T1 장기 P1 주차장,2021-11-01,2,1731,2762
T1 장기 P1 주차타워,2021-11-01,2,851,1374
T1 장기 P2 주차장,2021-11-01,2,2200,2592
T1 장기 P2 주차타워,2021-11-01,2,1085,1375
T1 장기 P3 주차장,2021-11-01,2,0,0
T1 예약주차장,2021-11-01,2,158,1382
T2 장기 주차장,2021-11-01,2,483,2847
T2 예약 주차장,2021-11-01,2,648,936
T1 단기주차장지상층,2021-11-01,3,120,993
T1 단기주차장지하1층,2021-11-01,3,216,973
T1 단기주차장지하2층,2021-11-01,3,956,1339
T2 단기주차장지상1층,2021-11-01,3,760,988
T2 단기주차장지상2층,2021-11-01,3,133,470
T2 단기주차장지상3층,2021-11-01,3,270,448
T2 단기주차장지상4층,2021-11-01,3,382,486
T2 단기주차장지하M층,2021-11-01,3,46,751
T1 장기 P1 주차장,2021-11-01,3,680,2762
T1 장기 P1 주차타워,2021-11-01,3,965,1374
T1 장기 P2 주차장,2021-11-01,3,609,2592
T1 장기 P2 주차타워,2021-11-01,3,855,1375
T1 장기 P3 주차장,2021-11-01,3,0,0
T1 예약주차장,2021-11-01,3,1029,1382
T2 장기 주차장,2021-11-01,3,924,2847
T2 예약 주차장,2021-11-01,3,466,936
T1 단기주차장지상층,2021-11-01,4,139,993
T1 단기주차장지하1층,2021-11-01,4,658,973
T1 단기주차장지하2층,2021-11-01,4,552,1339
T2 단기주차장지상1층,2021-11-01,4,548,988
T2 단기주차장지상2층,2021-11-01,4,239,470
T2 단기주차장지상3층,2021-11-01,4,63,448
T2 단기주차장지상4층,2021-11-01,4,167,486
T2 단기주차장지하M층,2021-11-01,4,192,751
T1 장기 P1 주차장,2021-11-01,4,2314,2762
T1 장기 P1 주차타워,2021-11-01,4,1040,1374
T1 장기 P2 주차장,2021-11-01,4,264,2592
T1 장기 P2 주차타워,2021-11-01,4,404,1375
T1 장기 P3 주차장,2021-11-01,4,0,0
T1 예약주차장,2021-11-01,4,707,1382
T2 장기 주차장,2021-11-01,4,2045,2847
T2 예약 주차장,2021-11-01,4,262,936
T1 단기주차장지상층,2021-11-01,5,111,993
T1 단기주차장지하1층,2021-11-01,5,26,973
T1 단기주차장지하2층,2021-11-01,5,1000,1339
T2 단기주차장지상1층,2021-11-01,5,305,988
T2 단기주차장지상2층,2021-11-01,5,148,470
T2 단기주차장지상3층,2021-11-01,5,267,448
T2 단기주차장지상4층,2021-11-01,5,175,486
T2 단기주차장지하M층,2021-11-01,5,438,751
T1 장기 P1 주차장,2021-11-01,5,2084,2762
T1 장기 P1 주차타워,2021-11-01,5,939,1374
T1 장기 P2 주차장,2021-11-01,5,167,2592
T1 장기 P2 주차타워,2021-11-01,5,607,1375
T1 장기 P3 주차장,2021-11-01,5,0,0
T1 예약주차장,2021-11-01,5,235,1382
T2 장기 주차장,2021-11-01,5,1103,2847
T2 예약 주차장,2021-11-01,5,369,936
T1 단기주차장지상층,2021-11-01,6,534,993
T1 단기주차장지하1층,2021-11-01,6,971,973
T1 단기주차장지하2층,2021-11-01,6,113,1339
T2 단기주차장지상1층,2021-11-01,6,428,988
T2 단기주차장지상2층,2021-11-01,6,319,470
T2 단기주차장지상3층,2021-11-01,6,423,448
T2 단기주차장지상4층,2021-11-01,6,183,486
T2 단기주차장지하M층,2021-11-01,6,241,751
T1 장기 P1 주차장,2021-11-01,6,1803,2762
T1 장기 P1 주차타워,2021-11-01,6,1,1374
T1 장기 P2 주차장,2021-11-01,6,1804,2592
T1 장기 P2 주차타워,2021-11-01,6,1059,1375
T1 장기 P3 주차장,2021-11-01,6,0,0
T1 예약주차장,2021-11-01,6,1057,1382
T2 장기 주차장,2021-11-01,6,2778,2847
T2 예약 주차장,2021-11-01,6,877,936
T1 단기주차장지상층,2021-11-01,7,976,993
T1 단기주차장지하1층,2021-11-01,7,105,973
T1 단기주차장지하2층,2021-11-01,7,109,1339
T2 단기주차장지상1층,2021-11-01,7,607,988
T2 단기주차장지상2층,2021-11-01,7,190,470
T2 단기주차장지상3층,2021-11-01,7,403,448
T2 단기주차장지상4층,2021-11-01,7,330,486
T2 단기주차장지하M층,2021-11-01,7,658,751
T1 장기 P1 주차장,2021-11-01,7,805,2762
T1 장기 P1 주차타워,2021-11-01,7,424,1374
T1 장기 P2 주차장,2021-11-01,7,1942,2592
T1 장기 P2 주차타워,2021-11-01,7,1167,1375
T1 장기 P3 주차장,2021-11-01,7,0,0
T1 예약주차장,2021-11-01,7,615,1382
T2 장기 주차장,2021-11-01,7,2462,2847
T2 예약 주차장,2021-11-01,7,154,936
T1 단기주차장지상층,2021-11-01,8,634,993
T1 단기주차장지하1층,2021-11-01,8,769,973
T1 단기주차장지하2층,2021-11-01,8,1322,1339
T2 단기주차장지상1층,2021-11-01,8,259,988
T2 단기주차장지상2층,2021-11-01,8,386,470
T2 단기주차장지상3층,2021-11-01,8,103,448
T2 단기주차장지상4층,2021-11-01,8,9,486
T2 단기주차장지하M층,2021-11-01,8,155,751
T1 장기 P1 주차장,2021-11-01,8,257,2762
T1 장기 P1 주차타워,2021-11-01,8,1309,1374
T1 장기 P2 주차장,2021-11-01,8,1303,2592
T1 장기 P2 주차타워,2021-11-01,8,357,1375
T1 장기 P3 주차장,2021-11-01,8,0,0
T1 예약주차장,2021-11-01,8,628,1382
T2 장기 주차장,2021-11-01,8,107,2847
T2 예약 주차장,2021-11-01,8,804,936
T1 단기주차장지상층,2021-11-01,9,970,993
T1 단기주차장지하1층,2021-11-01,9,711,973
T1 단기주차장지하2층,2021-11-01,9,907,1339
T2 단기주차장지상1층,2021-11-01,9,864,988
T2 단기주차장지상2층,2021-11-01,9,345,470
T2 단기주차장지상3층,2021-11-01,9,405,448
T2 단기주차장지상4층,2021-11-01,9,232,486
T2 단기주차장지하M층,2021-11-01,9,153,751
T1 장기 P1 주차장,2021-11-01,9,1878,2762
T1 장기 P1 주차타워,2021-11-01,9,1316,1374
T1 장기 P2 주차장,2021-11-01,9,2452,2592
T1 장기 P2 주차타워,2021-11-01,9,524,1375
T1 장기 P3 주차장,2021-11-01,9,0,0
T1 예약주차장,2021-11-01,9,657,1382
T2 장기 주차장,2021-11-01,9,2733,2847
T2 예약 주차장,2021-11-01,9,146,936
T1 단기주차장지상층,2021-11-01,10,133,993
T1 단기주차장지하1층,2021-11-01,10,404,973
T1 단기주차장지하2층,2021-11-01,10,863,1339
T2 단기주차장지상1층,2021-11-01,10,134,988
T2 단기주차장지상2층,2021-11-01,10,429,470
T2 단기주차장지상3층,2021-11-01,10,86,448
T2 단기주차장지상4층,2021-11-01,10,171,486
T2 단기주차장지하M층,2021-11-01,10,131,751
T1 장기 P1 주차장,2021-11-01,10,2346,2762
T1 장기 P1 주차타워,2021-11-01,10,161,1374
T1 장기 P2 주차장,2021-11-01,10,1410,2592
T1 장기 P2 주차타워,2021-11-01,10,500,1375
T1 장기 P3 주차장,2021-11-01,10,0,0
T1 예약주차장,2021-11-01,10,1241,1382
T2 장기 주차장,2021-11-01,10,960,2847
T2 예약 주차장,2021-11-01,10,584,936
T1 단기주차장지상층,2021-11-01,11,164,993
T1 단기주차장지하1층,2021-11-01,11,492,973
T1 단기주차장지하2층,2021-11-01,11,1171,1339
T2 단기주차장지상1층,2021-11-01,11,199,988
T2 단기주차장지상2층,2021-11-01,11,241,470
T2 단기주차장지상3층,2021-11-01,11,267,448
T2 단기주차장지상4층,2021-11-01,11,470,486
T2 단기주차장지하M층,2021-11-01,11,251,751
T1 장기 P1 주차장,2021-11-01,11,1770,2762
T1 장기 P1 주차타워,2021-11-01,11,866,1374
T1 장기 P2 주차장,2021-11-01,11,55,2592
T1 장기 P2 주차타워,2021-11-01,11,358,1375
T1 장기 P3 주차장,2021-11-01,11,0,0
T1 예약주차장,2021-11-01,11,1028,1382
T2 장기 주차장,2021-11-01,11,119,2847
T2 예약 주차장,2021-11-01,11,771,936
